accession,title,summary,organism,technology,geo_study_type,gpl_accessions,gpl_titles,sample_count,sample_count_confidence,score,score_reason,ra_relevance,tissue,case_control_hint,treatment_hint,clinical_info_hint,processed_data_hint,publication_date,last_update_date,url,search_date,notes
GSE84074,Rheumatoid arthritis and response to LLDT-8: Fibroblast-like Synoviocytes,"Objective: Tripterygium is a traditional Chinese medicine which has widely been used in the treatment of rheumatic disease. (5R)-5-hydroxytriptolide (LLDT-8) is an extracted compound from Tripterygium, which has been showed lower cytotoxicity and relatively higher immunosuppressive activity. However, the knowledge on its genomic impact is still limited. Methods: The purpose of our study was to assess the effects of LLDT-8 on transcriptome including mRNAs and lncRNAs in rheumatoid arthritis fibroblast-like synoviocytes cell by a custom genome-wide microarray assay. Results: Our work showed that 394 significantly differentially expressed gene including 281 significantly down-regulated and 113 significantly up-regulated after the treatment of LLDT-8. Also, KEGG pathway analysis showed 20 pathways were significantly enriched (P-value <0.05, FDR correction). Morever, the top 4 enriched pathway were significant relevant to Immune reaction, including cytokine-cytokine receptor interaction (P-value=4.61×10-13), rheumatoid arthritis (P-value=1.90×10-6), chemokine signaling pathway (P-value=1.01×10-5) and TNF signaling pathway (P-value=2.79×10-4). Furthermore, we identified 1,716 highly correlated lncRNA-mRNA pairs from the selected top lncRNA and mRNA, and 70 pairs of them were located in the same Chromosome. Conclusion: The results indicated that the LLDT-8 would mainly influence the RA cells in the process of immune network regulation.",Homo sapiens,expression array,Expression profiling by array,GPL19640,,RA=10; control=0; total=10,medium,75,human; RA samples clear; RA/control counts shown; processed data likely available; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovium; synovial fibroblast,yes,yes,yes,yes,2019/08/20,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE84074,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE89408,RNAseq study of synovial biopsies,Total RNA sequencing was performed on samples isolated from joint synovial biopsies from subjects with and without rheumatoid arthritis,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL11154,,RA=218; control=0; total=218,medium,75,human; RA samples clear; RA/control counts shown; total samples >=20; processed data likely available,matched rheumatoid arthritis,,yes,yes,no,yes,2017/06/19,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE89408,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE91079,Gene expression fluctuation in Abatacept treated Rheumatoid Arthritis patients between baseline and 6 months,"The objective of this study was to identify response-specific gene expression fluctuations in methotrexate /abatacept (Aba) treated rheumatoid arthritis patients : responders (R) VS no-responders (NR). Nineteen RA patients were received Abatacept. The drug efficacy was evaluated with the DAS28 score after 6 months of treatment according to the EULAR response criteria. Among 19 Aba RA patients, 14 were R and 5 were classified as NR. A blood sample was carried out in patients both at baseline (just before the first injection of ABA) and at 6 months in PaxGene tubes.",Homo sapiens,expression array,Expression profiling by array,GPL4133,,RA=19; control=0; total=19,medium,75,human; RA samples clear; RA/control counts shown; processed data likely available; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,blood,no,yes,yes,yes,2020/07/24,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE91079,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE97165,RNAseq study of synovial biopsies after triple DMARD treatment,Total RNA sequencing was performed on samples isolated from joint synovial biopsies from subjects with rheumatoid arthritis before and after 6 months of triple DMARD treatment,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL11154,,RA=38; control=0; total=38,medium,75,human; RA samples clear; RA/control counts shown; total samples >=20; processed data likely available,matched rheumatoid arthritis,,no,yes,no,yes,2017/09/20,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE97165,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE99681,Expression data from RA-FLSs with PMPs,"Platelet microparticles (PMPs) are closely related to the activity of rheumatoid arthritis, and promote the migration and invasion of rheumatoid arthritis fibroblast-like synoviocytes (RA-FLSs). In order to identify the possible mechanisms of the promotion effect on migration and invasion of RA-FLS by PMP, we used microarray analysis to detect the gene expressions of RA-FLSs after treatment with PMPs.",Homo sapiens,expression array,Expression profiling by array,GPL15207,,RA=2; control=0; total=2,medium,75,human; RA samples clear; RA/control counts shown; processed data likely available; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovium; synovial fibroblast,no,yes,yes,yes,2017/06/06,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE99681,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE110008,Rheumatoid arthritis: aortic biopsies,Analysis of biopsies of the ascending aorta from coronary artery disease patients with and without rheumatoid arthritis,Homo sapiens,expression array,Expression profiling by array,GPL571,,RA=8; control=0; other/unclear=8; total=16,medium,70,human; RA samples clear; RA/control counts shown; processed data likely available; clinical metadata mentioned,matched rheumatoid arthritis,,no,no,yes,yes,2018/03/19,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE110008,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE112809,Treatment of rheumatoid arthritis patients with chaperonin 10,"Trial described in Lancet. 2006 Sep 2;368(9538):855-63. Rheumatoid arthritis patients were treated with chaperonin 10, with a dose of 10 mg rCpn10 i.v. twice weekly for 56 days. Blood samples were collected before and after treatment. Microarray analysis described in Hirata et al., Early pregnancy factor, chaperonin 10 and rheumatoid arthritis; the story unravels. J Transl Sci 2018.",Homo sapiens,expression array,Expression profiling by array,GPL570,,RA=8; control=0; total=8,medium,70,human; RA samples clear; RA/control counts shown; processed data likely available; tissue/source clear,matched rheumatoid arthritis,blood; PBMC,no,yes,no,yes,2018/04/07,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE112809,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE118958,Expression data (U133 Plus 2.0) from fibroblast like synoviocytes from patients with rheumatoid arthritis (RA-FLS) stimulated by TL1A,"TNF-like ligand 1A (TL1A) is a member of TNF receptor superfamily and involved in the pathogenesis of autoimmune diseases including rheumatoid arthritis (RA) by inducing apoptosis via intracellular death domain or promoting inflammation through the activation of NFκB by binding to its specific receptor death receptor 3 (DR3). Meanwhile, decoy receptor 3 (DcR3) competitively binds soluble TL1A in addition to Fas-ligand (FasL) and LIGHT and inhibits the signaling of TL1A via DR3. Therefore, TL1A-DcR3/DR3 signaling may be involved in the pathogenesis of RA by modulating apoptosis and proliferation of RA-FLS. We hypothesized that TL1A regulates the gene expression in RA-FLS. We used to search for genes in which expression in RA-FLS is regulated by TL1A.",Homo sapiens,expression array,Expression profiling by array,GPL570,,RA=8; control=0; total=8,medium,70,human; RA samples clear; RA/control counts shown; processed data likely available; tissue/source clear,matched rheumatoid arthritis,synovial fibroblast,yes,yes,no,yes,2018/08/24,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE118958,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE153378,Expression data (U133 Plus 2.0) from fibroblast like synoviocytes from patients with rheumatoid arthritis (RA-FLS) stimulated by FasL,"Fas ligand (FasL)/TNFSF6, a member of the tumor necrosis factor (TNF) superfamily, can promote apoptosis in activated primary B cells, T cells, dendritic cells, and synovial fibroblasts through Fas and is involved in the pathogenesis of autoimmune diseases including rheumatoid arthritis (RA). Meanwhile, decoy receptor 3 (DcR3) competitively binds soluble FasL in addition to TL1A and LIGHT and inhibits the signaling of FasL via Fas. Therefore, FasL-DcR3/Fas signaling may be involved in the pathogenesis of RA. We hypothesized that FasL regulates the gene expression in RA-FLS. We used to search for genes in which expression in RA-FLS is regulated by FasL.",Homo sapiens,expression array,Expression profiling by array,GPL570,,RA=8; control=0; total=8,medium,70,human; RA samples clear; RA/control counts shown; processed data likely available; tissue/source clear,matched rheumatoid arthritis,synovial fibroblast; T cell; B cell,yes,yes,no,yes,2020/06/30,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE153378,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE189136,Targeting MyD88 Downregulates Inflammatory Mediators and Pathogenic Processes in PBMC From DMARDs-Naïve Rheumatoid Arthritis Patients,"Purpose: We analyzed RNA-seq from peripheral blood mononuclear cells (PBMC) in DMARDs-naïve RA patients and healthy subjects. Our goal was to evaluate the transcriptional profiles of ST2825-treated PBMC to identify its therapeutic potential. Methods: We analyzed bulk RNA-seq from peripheral blood mononuclear cells (PBMC) in DMARDs-naïve RA patients after stimulation with LPS and IL-1β, PBMC were treated with the MyD88 chemical inhibitor, ST2825. Collection of RNA was performed after 24 h of treatment and samples were sequenced to determine transcriptional changes and regulated processes in treated PBMC. Results: paired-end reads were mapped to the hg19 human genome assembly. RNA levels were normalized using DESeq. We identified 796 differentially expressed (DE) genes by 2-fold change (p<0.05) between RA patients and healthy subjects. Our analysis revealed 631 DE genes between DMARDs-naïve RA patients before and after ST2825 treatment. We identified 471 DE genes between LPS-stimulated RA PBMC and LPS-stimulated RA PBMC treated with ST2825. Conclusion: Our study provides comprehensive evidence supporting the potential application of the MyD88 inhibitor, ST2825, as a modulator of gene expression signtaures involved in pathogenic processes in PBMC from DMARDs-naïve RA patients. Our indepth analysis of RNA-seq data will serve as a valuable resource containing the inflammatory gene expression signatures by MyD88.",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,,RA=19; control=0; total=19,medium,70,human; RA samples clear; RA/control counts shown; processed data likely available; tissue/source clear,matched rheumatoid arthritis,blood; PBMC,yes,yes,no,yes,2021/11/30,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE189136,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE191101,"Targeted inhibition of TAK1 phosphorylation at Thr184,184 sites by Tubuloside B to improve rheumatoid arthritis synovium function","Rheumatoid arthritis (RA) is an intractable chronic inflammatory disease characterized by synovial hyperplasia and consecutive inflammation. Tubuloside B (Tub B) is the major active constituent isolated from Cistanche tubulosa (Schenk) Wight which is a traditional Chinese medicine with anti-inflammatory efficacy. In this study, we aimed to examine the ability of Tubuloside B to treat RA and explore the underlying mechanisms.",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL20795,,RA=8; control=0; total=8,medium,70,human; RA samples clear; RA/control counts shown; processed data likely available; tissue/source clear,matched rheumatoid arthritis,synovium,yes,yes,no,yes,2021/12/18,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE191101,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
